id;numero_etudiant;date_naissance;adresse;formation_actuelle;utilisateur_id
1;"P53";2025-05-18;embarrassment;whoa plump millet;14609
2;"P2512";2025-05-18;yum;stake ring;10493
3;"P61622";2025-05-17;zowie politely;among terraform;2034
4;"P43663";2025-05-18;gee amidst;luck;26257
5;"P202";2025-05-18;corporation since cow;above frenetically;27506
6;"P9535";2025-05-18;self-confidence wiggly resource;unzip likewise;8433
7;"P674";2025-05-18;popularize clear;amendment whereas always;6873
8;"P28";2025-05-18;ew than;traduce;7743
9;"P282074";2025-05-18;yearly mmm;instead meanwhile as;8776
10;"P4";2025-05-18;stall;miserably;9065
